field,value
date,
branch,
censusOld,
censusNew,
salesPS,
salesMC,
salesTS,
onlinePayment,
onlinePaymentMode,
commOvernight,
otherExpenses,
otherExpensesDetail,
totalExpenses,
totalCashClinic,
pettyCash,
medsSoaps,
thermotipsEye,
thermotipsFace,
thermotipsBody,
pointsBP,
pointsOP,
pointsNP,
keyHolder,
remarks,
ledgerCheckedBy,
